"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "XML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"d:\DXIFY\Angular\Onboarding.Angular\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 14, 28
"d:\DXIFY\Angular\Onboarding.Angular\angular.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 1, 102
"d:\DXIFY\Angular\Onboarding.Angular\package-lock.json", "JSON", 13377, 0, 0, 0, 0, 0, 0, 0, 1, 13378
"d:\DXIFY\Angular\Onboarding.Angular\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"d:\DXIFY\Angular\Onboarding.Angular\server.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 6, 11, 58
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.component.spec.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.component.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.config.server.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"d:\DXIFY\Angular\Onboarding.Angular\src\app\app.routes.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\Service\customer.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\Service\customer.service.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 1, 16, 38
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\ViewModels\Ticket.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 5, 1, 13
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\components\get-for-ticket\get-for-ticket.component.css", "CSS", 0, 0, 109, 0, 0, 0, 0, 0, 20, 129
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\components\get-for-ticket\get-for-ticket.component.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 16, 12, 77
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\components\get-for-ticket\get-for-ticket.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\components\get-for-ticket\get-for-ticket.component.ts", "TypeScript", 0, 162, 0, 0, 0, 0, 0, 19, 43, 224
"d:\DXIFY\Angular\Onboarding.Angular\src\app\customer\customer.module.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 3, 3, 24
"d:\DXIFY\Angular\Onboarding.Angular\src\assets\adcb_brand.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"d:\DXIFY\Angular\Onboarding.Angular\src\assets\adcb_brand_typography.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"d:\DXIFY\Angular\Onboarding.Angular\src\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\DXIFY\Angular\Onboarding.Angular\src\main.server.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\DXIFY\Angular\Onboarding.Angular\src\main.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\ViewModel\response.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\error-alert\error-alert.component.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 1, 7, 44
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\error-alert\error-alert.component.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\error-alert\error-alert.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\error-alert\error-alert.component.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 2, 12, 50
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\success-alert\success-alert.component.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 1, 7, 44
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\success-alert\success-alert.component.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\success-alert\success-alert.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\alerts\success-alert\success-alert.component.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 2, 10, 45
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\loader\loader.component.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 1, 3, 28
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\loader\loader.component.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\loader\loader.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\loader\loader.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\success-model\success-model.component.css", "CSS", 0, 0, 73, 0, 0, 0, 0, 21, 17, 111
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\success-model\success-model.component.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 19, 5, 41
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\success-model\success-model.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\components\success-model\success-model.component.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 3, 6, 36
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\service\log-service.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\service\log-service.service.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 1, 8, 28
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\service\shared-service.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\service\shared-service.service.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 2, 26, 98
"d:\DXIFY\Angular\Onboarding.Angular\src\shared\shared.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"d:\DXIFY\Angular\Onboarding.Angular\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\DXIFY\Angular\Onboarding.Angular\tsconfig.app.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"d:\DXIFY\Angular\Onboarding.Angular\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 31, 1, 1, 33
"d:\DXIFY\Angular\Onboarding.Angular\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 13554, 669, 278, 96, 19, 14, 31, 108, 304, 15073